"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"132","X=~x2",0.805494493504745,0.0277479262189962,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"133","X=~x3",0.770824377118681,0.032470030116555,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"134","Z=~z1",0.783135290739556,0.0303334472961376,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"135","Z=~z2",0.820077347159797,0.0241269244906944,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"136","Z=~z3",0.764693439049948,0.0312118609535382,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"137","Y=~y1",0.790764268577779,0.0253825427626546,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"138","Y=~y2",0.723025931269222,0.0375122283046929,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"139","Y=~y3",0.815618730046816,0.0238038535041226,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"140","Y~X",0.270073480976135,0.0405553318302264,0.4,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"141","Y~Z",0.316313274725679,0.0381321257243357,0.5,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"142","Y~X:Z",0.104431557433342,0.0369302691872662,0.3,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"143","X~~Z",0.246063702714554,0.043863171985612,0.2,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
"144","X=~x1",0.793,0.046,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"145","X=~x2",0.788,0.047,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"146","X=~x3",0.79,0.047,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"147","Z=~z1",0.769,0.047,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"148","Z=~z2",0.838,0.045,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"149","Z=~z3",0.727,0.049,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"150","Y=~y1",0.769,0.05,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"151","Y=~y2",0.708,0.052,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"152","Y=~y3",0.823,0.047,0.8,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"153","Y~X",0.368,0.066,0.4,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"154","Y~Z",0.45,0.065,0.5,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"155","Y~X:Z",0.27,0.076,0.3,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
"156","X~~Z",0.379,0.063,0.2,"Mplus",1203,5071634,500,"Symmetric","2",TRUE,55.22
